country,Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,Solar,5.0,7.0,9.0,23.0,27.0,30.0,36.0,40.0,49.0,71.0,154.0,317.0,363.0,626.0,785.0,937.0
Belgium,Solar,0.0,0.0,1.0,1.0,1.0,2.0,2.0,20.0,62.0,386.0,904.0,1391.0,2581.0,2922.0,3027.0,3122.0
Bulgaria,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,154.0,1013.0,1020.0,1026.0,1029.0
Croatia,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.0,19.0,33.0,48.0
Denmark,Solar,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,7.0,17.0,402.0,571.0,607.0,782.0
Estonia,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.4,1.5,3.3,6.5
Finland,Solar,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,9.0,11.0,15.0
France,Solar,7.0,7.0,8.0,9.0,11.0,13.0,15.0,26.0,80.0,277.0,1044.0,2787.0,4012.0,4929.0,5669.0,6755.0
Germany,Solar,114.0,195.0,260.0,435.0,1105.0,2056.0,2899.0,4170.0,6120.0,10567.0,18007.0,25917.0,34077.0,36711.0,37900.0,39245.0
Greece,Solar,0.0,1.0,1.0,1.0,1.0,1.0,5.0,9.0,12.0,46.0,202.0,612.0,1536.0,2579.0,2596.0,2604.0
Hungary,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,12.0,35.0,77.0,168.0
Ireland,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
Italy,Solar,19.0,20.0,22.0,26.0,31.0,34.0,45.0,110.0,483.0,1264.0,3596.7,13135.7,16789.7,18190.1,18600.1,18907.1
Latvia,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
Lithuania,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,7.0,68.0,69.0,69.0
Luxembourg,Solar,0.0,0.0,2.0,14.0,24.0,24.0,24.0,24.0,25.0,26.0,29.0,41.0,75.0,95.0,110.0,116.0
Netherlands,Solar,13.0,21.0,26.0,46.0,50.0,51.0,53.0,54.0,59.0,69.0,90.0,149.0,369.0,746.0,1048.0,1515.0
Poland,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,27.0,108.0
Portugal,Solar,1.0,1.0,1.0,2.0,2.0,2.0,3.0,24.0,59.0,115.0,134.0,172.0,238.0,296.0,415.0,447.0
Romania,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,1.0,41.0,761.0,1293.0,1326.0
Slovakia,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,496.0,513.0,533.0,533.0,533.0
Slovenia,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,57.0,142.0,187.0,223.0,238.0
Spain,Solar,12.0,16.0,20.0,27.0,37.0,60.0,180.0,750.0,3450.0,3770.0,4653.0,5501.0,6646.0,7085.0,7087.0,7156.0
Sweden,Solar,3.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,8.0,9.0,11.0,12.0,24.0,43.0,60.0,104.0
